R,G,B
2,10,1
4,16,1
6,20,1
6,21,1
8,23,2
11,27,2
11,28,2
12,29,2
14,29,3
15,32,3
16,32,3
17,34,4
17,36,6
19,38,9
21,38,9
21,38,9
22,40,9
22,41,9
23,42,10
24,43,10
25,45,10
26,46,10
27,47,11
28,48,13
28,48,14
30,49,14
30,49,14
31,49,14
31,53,15
32,54,16
32,54,16
33,54,16
35,54,16
36,54,17
37,57,18
37,57,19
38,58,19
38,59,19
38,59,19
38,60,19
39,62,21
42,62,22
42,62,23
42,64,23
42,64,24
43,65,24
43,65,24
45,65,24
45,67,25
46,68,25
48,68,25
48,68,25
48,69,26
48,70,26
48,71,27
49,71,28
51,72,28
51,73,29
52,73,29
53,73,30
53,75,30
53,76,31
54,76,32
54,76,33
54,77,33
56,77,34
56,78,34
57,78,34
57,80,35
58,80,35
58,81,36
59,81,37
59,82,37
60,83,37
60,83,37
62,83,39
62,84,39
63,85,39
64,85,39
64,85,40
64,86,40
64,87,40
65,88,41
65,88,42
66,88,43
66,90,44
68,90,44
68,91,45
68,91,45
68,91,46
69,91,46
70,92,46
71,92,47
71,93,47
71,94,47
73,96,47
73,97,48
73,97,48
73,97,48
74,97,49
74,98,49
75,98,49
75,99,50
76,99,52
76,99,53
76,100,53
78,100,53
79,101,55
79,101,55
79,104,55
80,104,56
81,104,56
81,104,56
81,105,56
82,105,56
82,105,56
82,106,56
83,107,58
84,108,58
84,108,60
85,108,60
85,109,61
85,110,61
86,110,61
87,111,62
87,111,63
88,111,63
88,112,63
89,112,64
89,112,65
89,114,65
90,115,65
91,115,67
92,115,67
92,115,67
92,116,68
92,117,69
93,117,69
93,117,69
94,118,70
95,118,70
95,119,70
96,119,71
96,120,72
96,121,72
97,122,73
98,122,74
98,122,74
99,122,75
100,123,75
100,123,76
100,123,76
101,124,76
101,125,76
102,126,77
103,126,77
103,126,78
103,126,78
104,128,79
104,129,81
104,129,81
104,130,83
104,130,83
104,130,83
107,130,83
107,131,83
107,131,84
109,132,86
109,133,86
110,133,86
110,134,86
110,134,87
111,135,87
112,135,88
113,136,88
113,137,89
113,137,89
113,138,91
114,138,91
115,138,92
115,139,93
115,140,95
115,140,95
115,141,96
116,141,96
116,141,96
120,142,96
120,143,98
120,143,98
120,143,99
121,145,99
121,145,99
122,146,100
122,147,101
122,147,101
124,147,105
124,148,105
125,148,105
125,148,106
125,150,106
126,151,107
127,151,107
128,152,107
128,152,108
128,153,109
130,154,109
130,154,112
131,154,113
131,156,115
132,157,115
133,157,115
135,158,116
136,158,116
136,160,117
137,160,119
138,160,123
138,161,123
140,162,124
140,163,125
140,164,125
141,165,129
144,166,130
144,166,132
144,167,133
147,168,135
147,168,137
148,170,137
148,174,143
151,174,143
154,175,146
155,176,147
155,176,151
157,178,151
158,181,157
159,183,161
163,183,163
163,184,163
164,185,170
169,188,171
171,190,176
173,194,176
177,196,182
177,197,184
183,202,189
185,205,195
188,206,196
192,211,203
194,213,208
199,218,208
204,222,216
206,224,221
212,229,224
216,234,232
223,240,237
230,246,244
239,253,251
