R,G,B
7,21,9
9,23,10
11,25,10
11,27,14
15,30,14
15,32,18
15,32,18
18,33,19
19,35,20
20,38,21
21,38,23
23,39,23
23,39,25
24,40,25
24,41,27
26,44,29
26,46,29
28,46,30
29,46,30
29,46,31
30,47,32
32,48,32
32,49,34
32,49,34
33,51,35
33,51,36
34,52,36
36,53,38
36,54,38
37,54,38
37,55,39
37,56,39
38,58,41
38,59,41
38,59,41
41,60,41
41,60,42
42,61,42
42,61,44
42,61,44
44,62,44
44,63,46
44,64,46
45,64,47
45,65,48
46,66,48
46,66,48
47,67,48
48,68,49
48,68,49
48,69,50
49,69,50
50,69,51
50,70,51
51,70,52
52,72,53
52,72,53
52,72,54
53,72,55
53,73,55
54,74,56
54,74,56
54,75,56
54,77,56
55,77,57
56,77,57
56,77,58
57,77,59
57,78,59
58,78,60
58,79,60
58,80,60
59,81,60
60,81,60
60,82,60
60,82,61
61,82,61
62,83,63
62,84,64
63,84,64
63,84,66
63,84,66
63,85,66
63,86,66
64,86,67
64,87,67
65,87,67
66,87,67
67,88,67
67,89,68
67,89,68
69,90,68
69,91,69
69,91,69
69,91,71
69,92,72
70,93,72
70,93,72
71,93,73
71,94,73
72,95,74
72,95,74
73,95,74
73,96,74
73,96,75
73,97,75
73,97,75
74,97,75
74,98,75
76,99,76
76,99,77
76,100,79
76,100,80
77,101,80
77,101,80
78,101,80
79,101,81
79,102,81
79,102,82
80,103,82
81,103,82
81,104,83
81,105,83
82,105,84
82,105,84
83,107,84
83,107,85
83,108,85
83,109,86
84,110,86
85,110,86
85,110,87
85,111,88
85,111,88
85,111,88
85,112,88
86,112,89
87,112,91
87,113,91
88,113,92
89,113,93
89,113,93
89,114,94
89,115,94
90,115,94
91,116,94
91,116,94
91,116,94
92,116,95
92,117,95
93,119,97
93,120,97
93,121,97
93,121,98
94,122,98
94,122,99
96,123,100
96,124,100
96,124,101
96,124,101
97,124,101
98,125,102
98,125,102
98,125,102
98,126,103
100,126,104
101,127,105
101,128,106
102,128,106
102,128,107
102,130,107
103,130,107
104,130,108
104,133,108
104,133,109
104,133,109
104,134,109
105,135,109
105,135,111
105,135,111
106,135,111
107,136,112
107,137,115
108,138,115
109,138,116
111,138,116
111,139,116
112,139,117
112,139,117
112,139,118
113,140,118
113,140,119
113,140,119
113,142,119
113,143,120
113,144,120
114,144,121
116,147,123
117,147,123
117,148,123
117,148,125
119,149,126
120,149,126
121,149,128
121,150,129
121,150,129
122,150,130
122,152,131
122,152,131
122,152,131
124,153,132
125,153,135
126,155,135
126,157,136
128,158,137
129,159,137
129,159,138
131,159,139
132,160,139
133,160,140
133,161,141
134,163,141
134,163,143
135,164,143
137,164,145
139,164,147
140,165,149
141,168,150
141,169,150
142,169,152
143,172,153
145,172,156
145,173,156
145,173,157
147,175,159
148,175,161
149,175,162
153,176,164
156,176,165
157,182,168
158,184,168
159,185,169
160,185,172
162,188,175
167,189,177
169,190,180
170,192,182
171,196,186
177,198,192
179,200,198
179,203,201
186,211,205
189,212,219
196,217,221
211,230,231
231,246,251
